"","Yr","DOY","Psy_num","lwp.m","lwp.sd","lwp.n","Temp.m","Temp.sd","ind","tag","treatment","doy.yr","DOY.yr"
"171",2018,205,"PSY4",-0.626799724174559,0.0305724641236983,7,19.75,0.0115470053837933,4,498,"control","205-18",2018-07-24
"172",2018,205,"PSY5",-1.29055453669104,0.0465776577457565,7,19.75,0.0115470053837933,5,10999,"mwd","205-18",2018-07-24
"173",2018,205,"PSY7",-1.57291117543161,0.100610997041792,7,19.75,0.0115470053837933,7,591,"swd","205-18",2018-07-24
"174",2018,205,"PSY8",-0.453314342312782,0.00624444826227997,7,19.75,0.0115470053837933,8,10954,"control","205-18",2018-07-24
"175",2018,205,"PSY9",-0.52284725332995,0.0251506596574187,7,19.75,0.0115470053837933,9,600,"mwd","205-18",2018-07-24
"176",2018,206,"PSY2",-2.95048813440543,0.143311363916413,7,19.5957142857143,0.0263673679998234,2,592,"mwd","206-18",2018-07-25
"177",2018,206,"PSY3",-0.315904650140605,0.0217095457884128,7,19.5957142857143,0.0263673679998234,3,589,"control","206-18",2018-07-25
"178",2018,206,"PSY4",-0.260980529730226,0.0191664545612294,7,19.5957142857143,0.0263673679998234,4,498,"control","206-18",2018-07-25
"179",2018,206,"PSY5",-4.3708122649792,0.220173454269818,7,19.5957142857143,0.0263673679998234,5,10999,"mwd","206-18",2018-07-25
"180",2018,206,"PSY7",-1.28302802155256,0.0156608561514556,7,19.5957142857143,0.0263673679998234,7,591,"swd","206-18",2018-07-25
"181",2018,206,"PSY8",-0.48573510503062,0.0143158832296472,7,19.5957142857143,0.0263673679998234,8,10954,"control","206-18",2018-07-25
"182",2018,206,"PSY9",-0.314974747540359,0.0277244449109685,7,19.5957142857143,0.0263673679998234,9,600,"mwd","206-18",2018-07-25
"183",2018,207,"PSY1",-1.43998118048218,0.0659527707461105,7,19.5442857142857,0.0263673679998223,1,590,"swd","207-18",2018-07-26
"184",2018,207,"PSY2",-4.87487638911988,0.539412468841227,7,19.5442857142857,0.0263673679998223,2,592,"mwd","207-18",2018-07-26
"185",2018,207,"PSY3",-3.33105000778812,0.453655722845164,7,19.5442857142857,0.0263673679998223,3,589,"control","207-18",2018-07-26
"186",2018,207,"PSY4",-0.397124145847878,0.0661325742402143,7,19.5442857142857,0.0263673679998223,4,498,"control","207-18",2018-07-26
"187",2018,207,"PSY5",-0.0943394652059041,NA,1,19.58,NA,5,10999,"mwd","207-18",2018-07-26
"188",2018,207,"PSY6",-1.72606479762157,0.11092335853247,7,19.5442857142857,0.0263673679998223,6,588,"swd","207-18",2018-07-26
"189",2018,207,"PSY7",-0.997779643118781,0.11444284341676,7,19.5442857142857,0.0263673679998223,7,591,"swd","207-18",2018-07-26
"190",2018,207,"PSY8",-0.493120257120492,0.0221170958504675,7,19.5442857142857,0.0263673679998223,8,10954,"control","207-18",2018-07-26
"191",2018,207,"PSY9",-0.209144170295587,0.0366558074293479,7,19.5442857142857,0.0263673679998223,9,600,"mwd","207-18",2018-07-26
"192",2018,208,"PSY1",-2.36539253869011,0.0287643138724647,7,19.5771428571429,0.0390360029179414,1,590,"swd","208-18",2018-07-27
"193",2018,208,"PSY4",-0.290670986298827,0.0355602496384654,7,19.5771428571429,0.0390360029179414,4,498,"control","208-18",2018-07-27
"194",2018,208,"PSY7",-1.19478287855954,0.0290278803778795,7,19.5771428571429,0.0390360029179414,7,591,"swd","208-18",2018-07-27
"195",2018,208,"PSY8",-0.710300400217897,0.0310506179167371,7,19.5771428571429,0.0390360029179414,8,10954,"control","208-18",2018-07-27
"196",2018,208,"PSY9",-0.299894287474646,0.0289991327293694,7,19.5771428571429,0.0390360029179414,9,600,"mwd","208-18",2018-07-27
